GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.ui.controller,HorizontalPullHelper,350,0,91,0,58,0,64,0,15,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations,295,0,0,0,50,0,8,0,8,0
library,universum.studios.android.ui.controller,RefreshController.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.controller,RefreshController,1256,0,148,0,284,0,130,0,55,0
library,universum.studios.android.ui.controller,RefreshController.new Runnable() {...},15,0,0,0,4,0,2,0,2,0
library,universum.studios.android.ui.controller,RefreshController.new Runnable() {...},15,0,0,0,4,0,2,0,2,0
library,universum.studios.android.ui.controller,RefreshController.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.controller,PullController.DefaultAnimations.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.controller,VerticalPullHelper,349,0,91,0,58,0,64,0,15,0
library,universum.studios.android.ui.controller,RefreshController.IndicatorInfo,51,0,0,0,10,0,2,0,2,0
library,universum.studios.android.ui.controller,PullController.HoneyCombAnimations,153,0,2,0,28,0,7,0,6,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},21,0,2,0,4,0,3,0,2,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},34,0,4,0,5,0,4,0,2,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},47,0,4,0,8,0,4,0,2,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},11,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.controller,RefreshController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},26,0,2,0,5,0,3,0,2,0
library,universum.studios.android.ui.controller,PullController.Animations,31,0,2,0,9,0,6,0,5,0
library,universum.studios.android.ui.controller,RefreshController.Animations,40,0,2,0,12,0,6,0,5,0
library,universum.studios.android.ui.controller,PullController.PullImpl,34,0,2,0,12,0,6,0,5,0
library,universum.studios.android.ui.controller,PullController.HoneyCombAnimations.new ValueAnimator.AnimatorUpdateListener() {...},11,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.controller,PullController.HoneyCombAnimations.new AnimatorListenerAdapter() {...},28,0,2,0,5,0,3,0,2,0
library,universum.studios.android.ui.controller,RefreshController.DefaultAnimations,95,0,0,0,22,0,6,0,6,0
library,universum.studios.android.ui.controller,PullHelper,187,0,28,0,53,0,34,0,18,0
library,universum.studios.android.ui.controller,BasePullController.PullTransformerImpl,27,0,2,0,6,0,3,0,2,0
library,universum.studios.android.ui.controller,PullController.DefaultAnimations,18,0,0,0,6,0,3,0,3,0
library,universum.studios.android.ui.controller,PullController.CollapseOverScrollAction,12,0,0,0,5,0,2,0,2,0
library,universum.studios.android.ui.controller,BasePullController,673,0,116,0,159,0,92,0,31,0
library,universum.studios.android.ui.controller,PullController,532,0,78,0,120,0,70,0,31,0
library,universum.studios.android.ui,UiException,95,0,2,0,20,0,12,0,11,0
library,universum.studios.android.ui,UiConfig,9,22,3,3,2,6,4,1,1,1
library,universum.studios.android.ui.interpolator,ResistanceInterpolator,56,0,10,0,14,0,11,0,6,0
library,universum.studios.android.ui.interpolator,ScrollerInterpolator,19,0,0,0,3,0,2,0,2,0
library,universum.studios.android.ui.graphics.drawable,TintDrawable,192,0,32,0,48,0,31,0,15,0
library,universum.studios.android.ui.graphics.drawable,TintLayerDrawable.DrawableLayerTint,9,0,0,0,3,0,1,0,1,0
library,universum.studios.android.ui.graphics.drawable,TintLayerDrawable,309,0,52,0,75,0,41,0,15,0
library,universum.studios.android.ui.graphics.drawable,CircularProgressDrawable.ArrowInfo,11,0,0,0,3,0,1,0,1,0
library,universum.studios.android.ui.graphics.drawable,DrawableWrapper,349,0,46,0,89,0,70,0,47,0
library,universum.studios.android.ui.graphics.drawable,ProgressDrawable.new Runnable() {...},47,0,4,0,9,0,4,0,2,0
library,universum.studios.android.ui.graphics.drawable,ProgressDrawable.new Runnable() {...},44,0,4,0,9,0,4,0,2,0
